year,data_status_cd,deal_type_sort,deal_type_cd,deal_type,new_build_sort,new_build_cd,new_build,area_sort,area_cd,area_name,rooms_sort,rooms_cd,rooms_label,num_transactions,price_per_sqm_chf,median_price_chf,total_price_chf,area_level,rooms_num,has_price_data
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,4,4,4-Zimmer,0.0,,,,district,4,False
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,5,5,5-Zimmer,,12406.0,1625170.0,,district,5,False
2009,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,6,6,6-Zimmer und mehr,,7053.0,1340000.0,,district,6,False
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,2,2,2-Zimmer,,9081.0,517500.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,3,3,3-Zimmer,,9400.0,470000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,5,5,5-Zimmer,0.0,,,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,51,51,Gewerbeschule,6,6,6-Zimmer und mehr,,7053.0,1340000.0,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,1,1,1-Zimmer,,17618.0,926090.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,2,2,2-Zimmer,,11845.0,1147830.0,5477826.0,quarter,2,True
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,3,3,3-Zimmer,,11756.0,1210000.0,4710000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,4,4,4-Zimmer,0.0,,,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,5,5,5-Zimmer,,12406.0,1625170.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,1,1,1-Zimmer,,13509.0,414010.0,,district,1,False
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,2,2,2-Zimmer,,9321.0,552500.0,3716111.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,3,3,3-Zimmer,7.0,12826.0,1180000.0,7885000.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,4,4,4-Zimmer,8.0,9558.0,1160000.0,9355949.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,5,5,5-Zimmer,19.0,11000.0,1550000.0,28575884.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,6,6,6-Zimmer und mehr,0.0,,,,district,6,False
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,2,2,2-Zimmer,,9643.0,540000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,3,3,3-Zimmer,,10780.0,862500.0,3655000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,4,4,4-Zimmer,,7867.0,992970.0,,quarter,4,False
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,5,5,5-Zimmer,,7572.0,1066250.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,1,1,1-Zimmer,,13509.0,414010.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,2,2,2-Zimmer,,8561.0,565000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,3,3,3-Zimmer,,13333.0,1200000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,4,4,4-Zimmer,,9558.0,1160000.0,7370000.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,5,5,5-Zimmer,,11329.0,1608100.0,26443384.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,1,1,1-Zimmer,,37200.0,930000.0,,district,1,False
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,2,2,2-Zimmer,,6054.0,415000.0,9506464.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,3,3,3-Zimmer,23.0,11136.0,900000.0,25313276.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,4,4,4-Zimmer,28.0,12999.0,1464440.0,41179882.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,5,5,5-Zimmer,21.0,11429.0,1516440.0,32839799.0,district,5,True
2009,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,6,6,6-Zimmer und mehr,16.0,12544.0,2490000.0,40325813.0,district,6,True
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,2,2,2-Zimmer,,12143.0,680000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,3,3,3-Zimmer,,13415.0,1626030.0,7953276.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,4,4,4-Zimmer,12.0,13521.0,1600000.0,19488493.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,5,5,5-Zimmer,6.0,14400.0,2294120.0,13879231.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,6,6,6-Zimmer und mehr,5.0,12064.0,3350000.0,11800000.0,quarter,6,True
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,1,1,1-Zimmer,,37200.0,930000.0,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,2,2,2-Zimmer,,13350.0,1030000.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,3,3,3-Zimmer,8.0,12250.0,1012500.0,8965000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,4,4,4-Zimmer,6.0,14126.0,1464440.0,8308889.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,5,5,5-Zimmer,,11760.0,1176000.0,6745532.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,6,6,6-Zimmer und mehr,7.0,15723.0,2800000.0,22300813.0,quarter,6,True
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,2,2,2-Zimmer,,11047.0,807500.0,,quarter,2,False
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,3,3,3-Zimmer,,7153.0,575000.0,,quarter,3,False
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,4,4,4-Zimmer,4.0,13352.0,1750000.0,6670000.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,5,5,5-Zimmer,,11429.0,1600000.0,,quarter,5,False
2009,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,6,6,6-Zimmer und mehr,0.0,,,,quarter,6,False
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,1,1,1-Zimmer,0.0,,,,quarter,1,False
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,2,2,2-Zimmer,8.0,6054.0,278540.0,2429464.0,quarter,2,True
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,3,3,3-Zimmer,8.0,8389.0,812500.0,7245000.0,quarter,3,True
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,4,4,4-Zimmer,6.0,8104.0,843750.0,6712500.0,quarter,4,True
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,5,5,5-Zimmer,9.0,6813.0,1001500.0,10615036.0,quarter,5,True
2009,D,1,22,Kauf,1,J,Ja,74,74,Witikon,6,6,6-Zimmer und mehr,4.0,7866.0,1402500.0,6225000.0,quarter,6,True
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,1,1,1-Zimmer,0.0,,,,district,1,False
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,2,2,2-Zimmer,,4762.0,275560.0,2750000.0,district,2,True
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,3,3,3-Zimmer,6.0,10683.0,987500.0,6093000.0,district,3,True
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,4,4,4-Zimmer,9.0,11917.0,1200000.0,12725000.0,district,4,True
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,5,5,5-Zimmer,,11253.0,1330000.0,,district,5,False
2009,D,1,22,Kauf,1,J,Ja,80,8,Kreis 8,6,6,6-Zimmer und mehr,0.0,,,,district,6,False
